brand,model,approx_price_EUR,primary_camera,secondary_camera,WLAN,bluetooth,sensors,colors,internal_memory,release_year,release_month/quarter,removable/non-removable,battery_type,battery_current,display_resolution,display_size,GPRS,EDGE,dimentions,SIM,CPU,Chipset,GPU,memory_card,RAM,GPS,OS,label
72.0,1216.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,251.0,127.0,2010.0,9.0,1.0,9.0,41.0,21.0,58.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1215.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,33.0,21.0,58.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1215.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,27.0,127.0,2010.0,9.0,1.0,9.0,33.0,21.0,58.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1215.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,26.0,127.0,2010.0,9.0,1.0,9.0,33.0,21.0,58.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1213.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1213.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,28.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1481.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1212.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1477.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1212.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,192.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1477.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1187.0,162.02877697841726,16.0,4.0,0.0,8.0,8.0,526.0,14.0,2010.0,9.0,1.0,9.0,0.0,44.0,75.0,1.0,4.0,1270.0,11.0,84.0,16.0,4.0,61.0,18.0,2.0,63.0,1.0
72.0,1202.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,504.0,127.0,2010.0,9.0,1.0,9.0,19.0,21.0,58.0,12.0,4.0,1206.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1201.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,524.0,127.0,2010.0,9.0,1.0,9.0,19.0,128.0,26.0,12.0,4.0,1183.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1201.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,220.0,127.0,2010.0,9.0,1.0,9.0,19.0,128.0,26.0,12.0,4.0,1183.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1201.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,123.0,127.0,2010.0,9.0,1.0,9.0,19.0,128.0,26.0,12.0,4.0,1183.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1200.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,545.0,127.0,2010.0,9.0,1.0,9.0,19.0,21.0,69.0,12.0,4.0,1223.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1200.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,250.0,127.0,2010.0,9.0,1.0,9.0,19.0,21.0,69.0,12.0,4.0,1223.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
